x	y	roadname	direction	meter	mark
166277.732	372930.663	A2	R	131.170	LUS, LUS, LUS
166286.237	372925.403	A2	R	131.180	LUS, LUS, LUS
166667.655	372686.626	A2	R	131.630	LUS, LUS
166979.852	372488.069	A2	R	132.000	LUS
166996.818	372477.478	A2	R	132.020	LUS
167207.522	372342.929	A2	R	132.270	LUS, LUS
167317.594	372273.770	A2	R	132.400	LUS, LUS, LUS
167326.080	372268.478	A2	R	132.410	LUS
167719.365	372029.969	A2	R	132.870	LUS
167788.909	371990.425	A2	R	132.950	LUS, OPRIT
168536.470	371514.857	A2	R	133.840	LUS, LUS, LUS
169414.342	370399.499	A2	R	135.260	LUS
170108.242	369458.332	A2	R	136.430	LUS
170113.893	369450.081	A2	R	136.440	AFRIT
170204.305	369318.075	A2	R	136.600	LUS, LUS
170392.683	369047.221	A2	R	136.930	LUS
170398.021	369038.765	A2	R	136.940	OPRIT
170748.703	368479.657	A2	R	137.600	LUS
171619.193	367735.349	A2	R	138.750	AFRIT
171666.774	367698.798	A2	R	138.810	LUS
171722.263	367656.125	A2	R	138.880	LUS
171896.623	367521.967	A2	R	139.100	LUS
171904.520	367515.832	A2	R	139.110	LUS
172165.184	367313.460	A2	R	139.440	OPRIT
172695.088	366903.464	A2	R	140.110	LUS
172973.411	366593.944	A2	R	140.530	AFRIT
174012.577	365413.536	A2	R	142.120	AFRIT
174288.482	365298.670	A2	R	142.420	LUS
174317.486	365291.004	A2	R	142.450	LUS
174672.909	365244.952	A2	R	142.810	LUS
174732.659	365248.339	A2	R	142.870	OPRIT
175845.123	365697.268	A2	R	144.080	LUS
176637.169	365941.650	A2	R	144.910	LUS
177740.129	366037.618	A2	R	146.020	LUS
178615.765	365900.215	A2	R	146.910	LUS
179131.910	365552.592	A2	R	147.540	AFRIT
179165.565	365515.614	A2	R	147.590	LUS
179326.053	365275.490	A2	R	147.880	LUS
179441.074	365042.498	A2	R	148.140	LUS
179449.243	365024.242	A2	R	148.160	OPRIT
179591.863	364672.097	A2	R	148.540	LUS, LUS
180768.183	363314.055	A2	R	150.400	LUS, LUS
183181.662	361006.351	A2	R	153.820	AFRIT
183240.812	360925.760	A2	R	153.920	LUS
183357.732	360775.995	A2	R	154.110	LUS, LUS
183558.499	360526.815	A2	R	154.430	OPRIT
184011.262	359954.273	A2	R	155.160	LUS
184057.140	359888.766	A2	R	155.240	LUS
184566.865	359063.696	A2	R	156.210	LUS
184572.050	359055.146	A2	R	156.220	LUS
185135.379	358110.365	A2	R	157.320	LUS, LUS
185579.589	357362.317	A2	R	158.190	LUS, LUS
186261.817	356220.635	A2	R	159.520	LUS, LUS
186510.009	355798.151	A2	R	160.010	LUS, LUS
186807.655	355243.351	A2	R	160.640	LUS, LUS, LUS
186828.626	355197.961	A2	R	160.690	LUS
186952.532	354892.145	A2	R	161.020	AFRIT
186956.097	354882.802	A2	R	161.030	LUS, LUS
186966.790	354854.772	A2	R	161.060	LUS, LUS
187112.129	354537.083	A2	R	161.410	LUS, LUS, LUS
187126.958	354511.004	A2	R	161.440	LUS, LUS, LUS
187289.485	354271.433	A2	R	161.730	LUS
187296.365	354264.176	A2	R	161.740	LUS
187303.246	354256.919	A2	R	161.750	OPRIT
187691.116	353929.348	A2	R	162.260	LUS, LUS, LUS
187699.649	353924.135	A2	R	162.270	LUS
187980.832	353772.145	A2	R	162.590	LUS, LUS
188347.199	353611.714	A2	R	162.990	LUS, LUS
188751.866	353438.960	A2	R	163.430	LUS
188761.056	353435.016	A2	R	163.440	LUS
189101.585	353290.313	A2	R	163.810	LUS
189110.793	353286.412	A2	R	163.820	LUS
189532.135	353079.623	A2	R	164.290	LUS, LUS, LUS, LUS
189590.264	353040.624	A2	R	164.360	OPRIT
189799.103	352870.531	A2	R	164.630	LUS
189945.305	352720.175	A2	R	164.840	LUS, LUS
190317.660	352275.504	A2	R	165.420	LUS, LUS
190375.525	352206.572	A2	R	165.510	LUS
190479.101	352072.086	A2	R	165.680	LUS
190624.837	351811.429	A2	R	165.980	LUS
190638.425	351773.807	A2	R	166.020	AFRIT
190645.219	351754.997	A2	R	166.040	LUS, LUS
190678.155	351660.664	A2	R	166.140	LUS
190715.850	351333.917	A2	R	166.470	LUS
190716.134	351313.919	A2	R	166.490	LUS
190712.184	350953.965	A2	R	166.850	LUS
190711.993	350943.967	A2	R	166.860	LUS
190705.075	350524.027	A2	R	167.280	LUS
190700.747	350324.074	A2	R	167.480	LUS
190690.923	349974.241	A2	R	167.830	AFRIT
190690.387	349964.255	A2	R	167.840	LUS, LUS
190685.563	349874.384	A2	R	167.930	LUS
