x	y	roadname	direction	meter	mark
71988.194	382309.855	A58	L	47.070	OPRIT
76381.425	382866.872	A58	L	51.500	LOOP
77087.143	382944.725	A58	L	52.210	LOOP
77818.075	383056.597	A58	L	52.950	LOOP
77973.277	383095.322	A58	L	53.110	LOOP
78223.541	383165.710	A58	L	53.370	EIND
80554.048	390504.146	A58	L	53.370	BEGIN, OPRIT
80746.008	390560.084	A58	L	53.570	LOOP
81122.910	390659.980	A58	L	53.960	LOOP
81279.136	390694.443	A58	L	54.120	LOOP
81970.269	390854.935	A58	L	54.830	LOOP
82850.517	391121.273	A58	L	55.750	LOOP
83638.974	391375.533	A58	L	56.580	LOOP
83688.792	391379.793	A58	L	56.630	AFRIT
83748.574	391384.904	A58	L	56.690	LOOP, LOOP
83818.320	391390.867	A58	L	56.760	LOOP
83848.210	391393.423	A58	L	56.790	OPRIT
84877.544	391428.079	A58	L	57.820	LOOP
85837.162	391453.962	A58	L	58.780	AFRIT
85927.132	391456.249	A58	L	58.870	LOOP
85967.120	391457.266	A58	L	58.910	OPRIT
86107.066	391461.137	A58	L	59.050	LOOP
86903.313	391518.601	A58	L	59.850	LOOP
